00349,09/23/2019,9/16-18 UNF 2B (OVERSIZE +.004),THREAD PLUG GAGE,365,06/01/2024,67,06/02/2023,
00353,03/28/2015,"1-2"" MITUTOYO DISC MICROMETER (.001)",DISC MICROMETER,365,03/01/2025,340,03/01/2024,
00354,03/19/2020,M6 X 1.0 STI GO / NO GO THREAD GAGE,THREAD PLUG GAGE,365,02/01/2025,312,02/02/2024,
00356,01/23/2020,1/4-20 UNC 2B GO / NO GO THD. GAGE ,THREAD PLUG GAGE,365,01/18/2025,298,01/19/2024,
00357,10/19/2020,"0-1"" MITUTOYO PIN MIC.","0 - 1"" PIN MICROMETE",365,04/16/2024,21,04/17/2023,
00358,06/10/2009,1 3/8-28 UN-2B ITG GO PLUG GAGE,THREAD PLUG GAGE,365,04/02/2024,7,04/03/2023,
00359,02/29/2020,M16 X 2 6H GO / NO GO THREAD PLUG G,THREAD PLUG GAGE,365,03/01/2025,340,03/01/2024,
00363,10/03/2015,8-32 UNC 2B STI GO/NO GO GAGE,STI THREAD PLUG,365,01/16/2025,296,01/17/2024,
00365,10/15/2011,1/8-27 NPT L-1 PLUG GAGE,THREAD PLUG GAGE,1095,12/12/2026,991,12/13/2023,
00366,03/20/2014,3/8-16 UNC 2B GO / NO GO THD. PLUG G,THREAD PLUG GAGE,365,01/16/2025,296,01/17/2024,
00367,03/10/2015,1/2-36 UNS 2B GO / NO GO THREAD P,THREAD PLUG GAGE,365,02/01/2025,312,02/02/2024,
00368,04/17/2020,2-56 2B STI GO / NO GO PLUG GAGE,THREAD PLUG GAGE,365,04/02/2024,7,04/03/2023,
00375,10/21/2020,3.0000 -X MASTER RING GAGE,PLAIN RING GAGE,365,01/23/2025,303,01/24/2024,
00378,06/09/2009,6-32 UNC 2B GO/NO GO PLUG GAGE,THREAD PLUG GAGE,365,06/01/2024,67,06/02/2023,
00379,08/24/2010,1-1/4-20 UN SPECIAL GO/NOGO GAGE A,THREAD PLUG GAGE,365,04/02/2024,7,04/03/2023,
00380,08/24/2010,1-14 UNS 2B ALAMEDA GO/NO GO GAGE,THREAD PLUG GAGE,365,04/30/2024,35,05/01/2023,
00388,10/20/2012,3/4-10 CALIBRATION UNC 2B GO GAGE,CALIBRATION GAGE,365,12/27/2024,276,12/28/2023,
00389,10/20/2012,10-32 UNF 2B CALIBRATION THD GAGE I,CALIBRATION GAGE,365,12/27/2024,276,12/28/2023,
00390,06/09/2009,1/4-20 UNC-2B GO/NO GO GAGE,THREAD PLUG GAGE,365,01/29/2025,309,01/30/2024,
00393,10/08/2012,7/16-14 2B CALIBRATION THD GAGE I,CALIBRATION GAGE,365,12/28/2024,277,12/29/2023,
00394,01/16/2016,1/2-20 UNF GO CALIBRATION THD G,CALIBRATION GAGE,365,12/28/2024,277,12/29/2023,
00397,10/03/2015,12-24 UNC 2B STI GO/NO GO,STI THREAD PLUG,365,01/16/2025,296,01/17/2024,
00398,11/26/2012,10-32 3B GO / NO GO THREAD GAGE,THREAD PLUG GAGE,365,11/08/2024,227,11/09/2023,
00399,06/09/2009,10-32 UNF-2B PRE-PLATE GO/NO GO P,THREAD PLUG GAGE,365,06/04/2024,70,06/05/2023,
00402,02/05/2017,"1.3750"" PLAIN RING GAGE",PLAIN RING GAGE,1095,05/16/2025,416,04/30/2019,
00403,02/05/2017,"1.3749"" PLAIN RING GAGE",PLAIN RING GAGE,1095,05/16/2025,416,04/30/2019,
00405,06/10/2009,1 1/16-28 UN-2B PRE-PLATE GAGE. GO P,THREAD PLUG GAGE,365,04/30/2024,35,05/01/2023,
00406,06/10/2009,5/16-24 UNF-3B,THREAD PLUG GAGE,365,06/01/2024,67,06/02/2023,
00410,04/16/2012,1-7/8-20 UNS 2B PRE-PLATE GO GAGE,THREAD PLUG GAGE,365,04/02/2024,7,04/03/2023,
00411,06/09/2009,6-32 PRE-PLATE GO PLUG GAGE,THREAD PLUG GAGE,365,06/07/2024,73,06/08/2023,
00412,06/10/2009,"1 7/8-20 UNS GO GAGE, NORTH AMER.",THREAD PLUG GAGE,365,04/30/2024,35,05/01/2023,
00417,02/06/2017,FOWLER V5 TRIMOS HEIGTH GAGE,DIGITAL HEIGHT GAGE,365,10/15/2024,203,10/16/2023,
00420,06/09/2009,10-32-2B +.005 PRE-PLATE GO / NO GO G,THREAD PLUG GAGE,365,06/04/2024,70,06/05/2023,
00421,06/10/2009,3/8-40 UNS-3B GO PLUG GAGE,THREAD PLUG GAGE,365,06/06/2024,72,06/07/2023,
00422,06/10/2011,10-24 UNC-3B GO/NO GO PLUG GAGE,THREAD PLUG GAGE,365,10/02/2024,190,10/03/2023,
00424,09/05/2012,6-32 UNC-2B GO / NO GO GAGE,THREAD PLUG GAGE,365,08/03/2024,130,08/04/2023,
00425,06/10/2009,5/8-24 UNEF 2B GO/NO GO PLUG,THREAD PLUG GAGE,365,04/02/2024,7,04/03/2023,
00426,06/09/2009,1/2-24 NS-2B GO/NO GO PLUG GAGE,THREAD PLUG GAGE,365,06/04/2024,70,06/05/2023,
00427,06/15/2017,"0-1"" Mitutoyo Micrometer","0-1"" OUTSIDE MICROME",365,08/02/2024,129,08/03/2023,
00430,12/16/2009,"1"" RAY MORRIS DIAL INDICATOR (.001)",DROP INDICATOR,365,01/24/2024,62 - Late,01/24/2023,
00432,06/08/2009,"1"" DIAL INDICATOR, AEROSPACE (CHINA)",DROP INDICATOR,365,10/01/2024,189,10/02/2023,
00433,06/09/2009,"0-1"" 32-40 ACCUPRO PITCH MIC",PITCH MICROMETER,365,06/01/2024,67,06/02/2023,
00437,07/01/2013,3/4-32 UN 2B GO / NO GO THD. GAGE,THREAD PLUG GAGE,365,10/01/2024,189,10/02/2023,
00438,03/09/2009,"0-1"" PITCH MICROMETER, 32-40, ACCUPR",0 - 1 PITCH MIC,365,03/01/2024,25 - Late,03/01/2023,
00441,12/19/2016,"1-2"" MITUTOYO DISC MICROMETER","1-2""DISC MICROMETER",365,12/12/2024,261,12/13/2023,
00443,06/10/2009,5/8-11 UNC-2B GO/NO GO PL,THREAD PLUG GAGE,365,06/04/2024,70,06/05/2023,
00444,06/10/2009,M5 X .8 6H GO/NO GO GAGE,THREAD PLUG GAGE,365,08/02/2024,129,08/03/2023,
00446,06/09/2009,6-32 UNC 2B GO/NO GO PLUG GAGE,THREAD PLUG GAGE,365,06/08/2024,74,06/09/2023,
00448,12/19/2016,"0-1 "" POINT MICROMETER 15° MITUTOYO","0-1"" OUTSIDE MICROME",365,01/17/2025,297,01/18/2024,
00453,12/19/2016,"5-6 "" MITUTOYO OUTSIDE MICROMETER","5"" - 6"" OUSTSIDE MIC",365,12/12/2024,261,12/13/2023,
00454,12/19/2016,"1-2"" MITUTOYO BLADE MICROMETER","1-2"" BLADE MICROMETE",365,06/01/2024,67,06/02/2023,
00456,12/19/2016,"2-3"" MITUTOYO DISC MICROMETER","2-3"" DISC MIC",365,12/12/2024,261,12/13/2023,
00457,12/19/2016,"7-8"" LUFKIN OUTSIDE MICROMETER",,365,12/12/2024,261,12/13/2023,
00458,12/19/2016,"4-5"" OUTSIDE MICROMETER","4-5"" OUTSIDE MICROME",365,12/12/2024,261,12/13/2023,
00459,12/19/2016,"0-1"" MITUTOYO INDICATING M",INDICATING MICROMETE,365,12/12/2024,261,12/13/2023,
